Įstaigos_kodas;Gydytojo_ID;Laisvos_registracijos_data;Įrašo_sukūrimo_data
179761936;1;2011-11-01 14:00;2019-03-08 18:47:06
179761936;1;2011-11-01 14:20;2019-03-08 18:47:06
179761936;1;2011-11-01 14:40;2019-03-08 18:47:06
179761936;1;2011-11-01 15:00;2019-03-08 18:47:06
179761936;1;2011-11-01 15:20;2019-03-08 18:47:06
179761936;1;2011-11-01 15:40;2019-03-08 18:47:06
179761936;1;2011-11-01 16:00;2019-03-08 18:47:06
179761936;1;2011-11-01 16:20;2019-03-08 18:47:06
179761936;1;2011-11-01 16:40;2019-03-08 18:47:06
179761936;1;2011-11-01 17:00;2019-03-08 18:47:06
179761936;1;2011-11-01 17:20;2019-03-08 18:47:06
179761936;1;2011-11-01 17:40;2019-03-08 18:47:06
179761936;1;2011-11-01 18:00;2019-03-08 18:47:06
179761936;1;2011-11-01 18:20;2019-03-08 18:47:06
179761936;1;2011-11-01 18:40;2019-03-08 18:47:06
179761936;1;2011-12-01 14:00;2019-03-08 18:47:06
179761936;1;2011-12-01 14:20;2019-03-08 18:47:06
179761936;1;2011-12-01 14:40;2019-03-08 18:47:06
179761936;1;2011-12-01 15:00;2019-03-08 18:47:06
179761936;1;2011-12-01 15:20;2019-03-08 18:47:06
179761936;1;2011-12-01 15:40;2019-03-08 18:47:06
179761936;1;2011-12-01 16:00;2019-03-08 18:47:06
179761936;1;2011-12-01 16:20;2019-03-08 18:47:06
179761936;1;2011-12-01 16:40;2019-03-08 18:47:06
179761936;1;2011-12-01 17:00;2019-03-08 18:47:06
179761936;1;2011-12-01 17:20;2019-03-08 18:47:06
179761936;1;2011-12-01 17:40;2019-03-08 18:47:06
179761936;1;2011-12-01 18:00;2019-03-08 18:47:06
179761936;1;2011-12-01 18:20;2019-03-08 18:47:06
179761936;1;2011-12-01 18:40;2019-03-08 18:47:06
179761936;1;2011-12-02 08:00;2019-03-08 18:47:06
179761936;1;2011-12-02 08:20;2019-03-08 18:47:06
179761936;1;2011-12-02 08:40;2019-03-08 18:47:06
179761936;1;2011-12-02 09:00;2019-03-08 18:47:06
179761936;1;2011-12-02 09:20;2019-03-08 18:47:06
179761936;1;2011-12-02 09:40;2019-03-08 18:47:06
179761936;1;2011-12-02 10:00;2019-03-08 18:47:06
179761936;1;2011-12-02 10:20;2019-03-08 18:47:06
179761936;1;2011-12-02 10:40;2019-03-08 18:47:06
179761936;1;2011-12-02 11:00;2019-03-08 18:47:06
179761936;1;2011-12-02 11:20;2019-03-08 18:47:06
179761936;1;2011-12-02 11:40;2019-03-08 18:47:06
179761936;1;2011-12-02 12:00;2019-03-08 18:47:06
179761936;1;2011-12-02 12:20;2019-03-08 18:47:06
179761936;1;2011-12-02 12:40;2019-03-08 18:47:06
179761936;1;2011-12-05 08:00;2019-03-08 18:47:06
179761936;1;2011-12-05 08:20;2019-03-08 18:47:06
179761936;1;2011-12-05 08:40;2019-03-08 18:47:06
179761936;1;2011-12-05 09:00;2019-03-08 18:47:06
179761936;1;2011-12-05 09:20;2019-03-08 18:47:06
179761936;1;2011-12-05 09:40;2019-03-08 18:47:06
179761936;1;2011-12-05 10:00;2019-03-08 18:47:06
179761936;1;2011-12-05 10:20;2019-03-08 18:47:06
179761936;1;2011-12-05 10:40;2019-03-08 18:47:06
179761936;1;2011-12-05 11:00;2019-03-08 18:47:06
179761936;1;2011-12-05 11:20;2019-03-08 18:47:06
179761936;1;2011-12-05 11:40;2019-03-08 18:47:06
179761936;1;2011-12-05 12:00;2019-03-08 18:47:06
179761936;1;2011-12-05 12:20;2019-03-08 18:47:06
179761936;1;2011-12-05 12:40;2019-03-08 18:47:06
179761936;1;2011-12-06 14:00;2019-03-08 18:47:06
179761936;1;2011-12-06 14:20;2019-03-08 18:47:06
179761936;1;2011-12-06 14:40;2019-03-08 18:47:06
179761936;1;2011-12-06 15:00;2019-03-08 18:47:06
179761936;1;2011-12-06 15:20;2019-03-08 18:47:06
179761936;1;2011-12-06 15:40;2019-03-08 18:47:06
179761936;1;2011-12-06 16:00;2019-03-08 18:47:06
179761936;1;2011-12-06 16:20;2019-03-08 18:47:06
179761936;1;2011-12-06 16:40;2019-03-08 18:47:06
179761936;1;2011-12-06 17:00;2019-03-08 18:47:06
179761936;1;2011-12-06 17:20;2019-03-08 18:47:06
179761936;1;2011-12-06 17:40;2019-03-08 18:47:06
179761936;1;2011-12-06 18:00;2019-03-08 18:47:06
179761936;1;2011-12-06 18:20;2019-03-08 18:47:06
179761936;1;2011-12-06 18:40;2019-03-08 18:47:06
179761936;1;2011-12-07 08:00;2019-03-08 18:47:06
179761936;1;2011-12-07 08:20;2019-03-08 18:47:06
179761936;1;2011-12-07 08:40;2019-03-08 18:47:06
179761936;1;2011-12-07 09:00;2019-03-08 18:47:06
179761936;1;2011-12-07 09:20;2019-03-08 18:47:06
179761936;1;2011-12-07 09:40;2019-03-08 18:47:06
179761936;1;2011-12-07 10:00;2019-03-08 18:47:06
179761936;1;2011-12-07 10:20;2019-03-08 18:47:06
179761936;1;2011-12-07 10:40;2019-03-08 18:47:06
179761936;1;2011-12-07 11:00;2019-03-08 18:47:06
179761936;1;2011-12-07 11:20;2019-03-08 18:47:06
179761936;1;2011-12-07 11:40;2019-03-08 18:47:06
179761936;1;2011-12-07 12:00;2019-03-08 18:47:06
179761936;1;2011-12-07 12:20;2019-03-08 18:47:06
179761936;1;2011-12-07 12:40;2019-03-08 18:47:06
179761936;1;2011-12-08 14:00;2019-03-08 18:47:06
179761936;1;2011-12-08 14:20;2019-03-08 18:47:06
